"Country","Total population as of 1/1/1939","Military deaths from all causes","Civilian deaths due to military activity and crimes against humanity","Total deaths","Deaths as of 1939 population","Average Deaths as of 1939 population","Military wounded"
"0","Albania","1073000","30000","","30000","2.80","2.80",""
"1","Australia","6968000","39700","700","40400","0.58","0.58","39803"
"2","Austria","6653000","Included with Germany","Included with Germany","","2","2","Included with Germany"
"3","Belgium","8387000","12000","76000","88000","1.05","1.05","55513"
"4","Brazil","40289000","1000","1000","2000","0.00","0.00","4222"
"5","Bulgaria","6458000","18500","3000","21500","0.33","0.33","21878"
"6","Burma","16119000","2600","250000","252600","1.57","1.57",""
"7","Canada","11267000","42000","1600","43600","0.38","0.38","53174"
"8","China","517568000","3,000,000 to 3,750,000","7,357,000 to 8,191,000","15,000,000 to 20,000,000","2.90 to 3.86","3.38","1761335"
"9","Cuba","4235000","","100","100","0.00","0.00",""
"10","Czechoslovakia","14612000","35,000 to 46,000","294,000 to 320,000","340,000 to 355,000","2.33 to 2.43","2.38","8017"
"11","Denmark","3795000","","6000","6000","0.16","0.16","2000"
"12","Dutch East Indies","69435000","11500","300000","3,000,000 to 4,000,000","4.3 to 5.76","5.03",""
"13","Egypt","16492000","1100","","1100","0.00","0.00",""
"14","Estonia","1134000","34,000","49,000","83000","7.30","7.30",""
"15","Ethiopia","17700000","15000","85000","100,000","0.56","0.56",""
"16","Finland","3700000","94700","2100","96800","2.62","2.62","197000"
"17","France","41680000","210000","390000","600000","1.44","1.44","390000"
"18","French Indochina","24664000","","","1,000,000 to 2,200,000","4.05 to 8.11","6.08",""
"19","Germany","69300000","4,440,000 to 5,318,000","1,500,000 to 3,000,000","6,900,000 to 7,400,000","2","2","7,300,000"
"20","Greece","7222000","35100","171800","507,000 to 807,000","7.02 to 11.17","9.095","47290"
"21","Guam","22800","1,000 to 2,000","","1,000 to 2,000","4.39 to 8.77","6.58",""
"22","Hungary","9129000","200000","264,000 to 664,000","464,000 to 864,000","5.08 to 9.46","7.27","89313"
"23","Iceland","118900","","200","200","0.17","0.17",""
"24","India","377800000","87000","","2,200,000 to 3,087,000","0.58","0.58","64354"
"25","Iran","14340000","200","","200","0.00","0.00",""
"26","Iraq","3698000","500","200","700","0.01","0.01",""
"27","Ireland","2960000","5000 Irish volunteers deaths included with UK Armed Forces","100","100","0.00","0.00",""
"28","Italy","44394000","319,200 to 341,000 Italian nationals and c. 20,000 Africans conscripted by Italy","153200","492,400 to 514,000","1.11 to 1.16","1.135","225,000-320,000"
"29","Japan","71380000","2,100,000 to 2,300,000","550,000 to 800,000","2,500,000 to 3,100,000","3.50 to 4.34","3.92","326000"
"30","Korea","24326000","Included with Japanese military","483,000 to 533,000","483,000 to 533,000","1.99 to 2.19","2.09",""
"31","Latvia","1994500","30,000","220,000","250000","12.5","12.5",""
"32","Lithuania","2575000","25,000","345,000","370000","14.36","14.36",""
"33","Luxembourg","290000","2,905 Included with German & Allied military","4,201","7,106","2.45","2.45",""
"34","Malaya & Singapore","5118000","","100,000","100000","1.95","1.95",""
"35","Malta","269000","Included with U.K.","1,500","1500","0.55","0.55",""
"36","Mexico","19320000","","100","100","0.00","0.00",""
"37","Mongolia","819000","300","","300","0.04","0.04",""
"38","Nauru","3400","","500","500","14.70","14.70",""
"39","Nepal","6087000","Included with British Indian Army","","","","",""
"40","Netherlands","8729000","6700","187,300","210000","2.41","2.41","2860"
"41","Newfoundland","320000","1,100","100","1200","0.30","0.30",""
"42","New Zealand","1629000","11700","","11700","0.72","0.72","19314"
"43","Norway","2945000","2000","8,200","10200","0.35","0.35","364"
"44","Papua and New Guinea","1292000","","15000","15000","1.16","1.16",""
"45","Philippines","16000303","57000","164000","557000","3.48","3.48",""
"46","Poland","34849000","240000","5,620,000 to 5,820,000","5,900,000 to 6,000,000","16.93 to 17.22","17.075","766606"
"47","Portuguese Timor","480000","","40,000 to 70,000","40,000 to 70,000","8.33 to 14.58","11.455",""
"48","Romania","15970000","300000","200000","500000","3.13","3.13","332769"
"49","Ruanda-Urundi","3800000","","","36,000–50,000","0.09–1.3","0.695",""
"50","South Africa","10160000","11900","","11900","0.12","0.12","14363"
"51","South Seas Mandate","127000","","10000","10000","7.87","7.87",""
"52","Soviet Union","188793000","8,668,000 to 11,400,000","4,500,000 to 10,000,000","20,000,000 to 27,000,000","NaN","NaN","14685593"
"53","Spain","25637000","Included with the German Army","Included with France","","","",""
"54","Sweden","6341000","100","2,000","2100","0.03","0.03",""
"55","Switzerland","4210000","","100","100","0.00","0.00",""
"56","Thailand","15023000","5600","2000","7600","0.05","0.05",""
"57","Turkey","17370000","200","","200","0.00","0.00",""
"58","United Kingdom","47760000","383700","67200","450900","0.94","0.94","376239"
"59","United States","131028000","407,300","12,100","419400","0.32","0.32","671801"
"60","Yugoslavia","15490000","300,000 to 446,000","581,000 to 1,400,000","1,027,000 to 1,700,000","6.63 to 10.97","8.80","425,000"